title,link,authors,metric,year
Codescore: Evaluating code generation by learning code execution,https://dl.acm.org/doi/abs/10.1145/3695991,"Y Dong, X Jiang, G Li, Z Li, Z Jin",CrystalBLEU,2025
Codeexp: Explanatory code document generation,https://arxiv.org/abs/2211.15395,"H Cui, C Wang, J Huang, JP Inala, T Mytkowicz",CodeBERTScore,2022
Codebertscore: Evaluating code generation with pretrained models of code,https://arxiv.org/abs/2302.05527,"S Zhou, U Alon, S Agarwal, G Neubig",CodeBERTScore,2023
Ice-score: Instructing large language models to evaluate code,https://arxiv.org/abs/2304.14317,TY Zhuo,CodeBERTScore,2023
Codetransocean: A comprehensive multilingual benchmark for code translation,https://arxiv.org/abs/2310.04951,"W Yan, Y Tian, Y Li, Q Chen, W Wang",CodeBERTScore,2023
Autoparllm: Gnn-guided automatic code parallelization using large language models,https://arxiv.org/abs/2310.04047,"QI Mahmud, A TehraniJamsaz",CodeBERTScore,2023
Exploring distributional shifts in large language models for code analysis,https://arxiv.org/abs/2303.09128,"S Arakelyan, RJ Das, Y Mao, X Ren",CodeBERTScore,2023
Codebertscore: Evaluating code generation with pretrained models of code. Deep Learning for Code (DL4C) workshop,https://aclanthology.org/2023.emnlp-main.859.pdf,G Neubig,CodeBERTScore,2023
ChatGPT as a Java Decompiler,https://aclanthology.org/2023.gem-1.19/,B McDanel,CodeBERTScore,2023
Generation of robot manipulation plans using generative large language models,https://ieeexplore.ieee.org/abstract/document/10473591/,"JP Töberg, P Cimiano",CodeBERTScore,2023
Learning performance-improving code edits,https://arxiv.org/abs/2302.07867,"A Madaan, Y Zeng, U Alon",CodeBERTScore,2023
Codefusion: A pre-trained diffusion model for code generation,https://aclanthology.org/2023.emnlp-main.716.pdf,"M Singh, J Cambronero, S Gulwani, V Le",CodeBERTScore,2023
Automatic Assessment of Program Code Using CodeBERTScore: a Transformer-Based Approach,https://link.springer.com/chapter/10.1007/978-3-031-91340-2_17,"H Gaur, DK Tayal, A Jain",CodeBERTScore,2024
Codescore-r: An automated robustness metric for assessing the functionalcorrectness of code synthesis,https://arxiv.org/abs/2406.06902,"G Yang, Y Zhou, X Chen, X Zhang",CodeBERTScore,2024
On the limitations of embedding based methods for measuring functional correctness for code generation,https://arxiv.org/abs/2405.01580,A Naik,CodeBERTScore,2024
Codejudge: Evaluating code generation with large language models,https://arxiv.org/abs/2410.02184,T Zhang,CodeBERTScore,2024
CodeWMBench: An Automated Benchmark for Code Watermarking Evaluation,https://dl.acm.org/doi/abs/10.1145/3674399.3674447,"K Chen, G Chen, W Zhang",CodeBERTScore,2024
Active code learning: Benchmarking sample-efficient training of code models,https://arxiv.org/pdf/2306.01250,"Q Hu, Y Guo, X Xie, M Cordy, L Ma",CodeBERTScore,2024
Coderosetta: Pushing the boundaries of unsupervised code translation for parallel programming,https://proceedings.neurips.cc/paper_files/paper/2024/hash/b6edb87876bec4ac2260bffa083cb992-Abstract-Conference.html,"A Tehrani, A Bhattacharjee, L Chen",CodeBERTScore,2024
"TRAON, Yves Le. Active code learning: Benchmarking sample-efficient training of code models.(2024)",,"Y GUO, X XIE, M CORDY, L MA",CodeBERTScore,2024
Do large language models generate similar codes from mutated prompts? A case study of Gemini Pro,https://dl.acm.org/doi/abs/10.1145/3663529.3663873,S Mondal,CodeBERTScore,2024
Leveraging statistical machine translation for code search,https://dl.acm.org/doi/abs/10.1145/3661167.3661233,"H Phan, A Jannesari",CodeBERTScore,2024
A transformer-based approach for smart invocation of automatic code completion,https://dl.acm.org/doi/abs/10.1145/3664646.3664760,"A de Moor, A van Deursen, M Izadi",CodeBERTScore,2024
Codescore: Evaluating code generation by learning code execution,https://arxiv.org/pdf/2301.09043,"Y Dong, X Jiang, G Li, Z Li, Z Jin",CodeBERTScore,2025
CODE-DITING: A Reasoning-Based Metric for Functional Alignment in Code Evaluation,https://arxiv.org/abs/2505.19502,"G Yang, Y Zhou, X Chen, W Zheng, X Hu",CodeBERTScore,2025
Creating Local LLMs for Test Assertion Generation: A Comparative Study of Knowledge Distillation from CodeT5,https://repository.tudelft.nl/record/uuid:aa8e0097-0c4c-4f95-a764-6a449ee7a62e,,CodeBERTScore,2025
Technical Challenges in Maintaining Tax Prep Software with Large Language Models,https://arxiv.org/abs/2504.18693,S Gogani-Khiabani,CodeBERTScore,2025
Multi-perspective Preference Alignment of LLMs for Programming-Community Question Answering,https://aclanthology.org/2025.coling-main.113/,"L He, R Li",CodeBERTScore,2025
STEP: A structured prompt optimization method for SCADA system tag generation using LLMs,https://www.sciencedirect.com/science/article/pii/S2452414X25000561,"Y Liu, D Lan, Z Pang",CodeBERTScore,2025
Autoparllm: Gnn-guided context generation for zero-shot code parallelization using llms,https://aclanthology.org/2025.naacl-long.593/,"QI Mahmud, A TehraniJamsaz",CodeBERTScore,2025
Rubric is all you need: Enhancing llm-based code evaluation with question-specific rubrics,https://arxiv.org/abs/2503.23989,"R Gandhi, A Ramamoorthy",CodeBERTScore,2025
SIMCODE: A Benchmark for Natural Language to ns-3 Network Simulation Code Generation,https://arxiv.org/abs/2507.11014,"MM Azwad, S Choudhury",CodeBERTScore,2025
Identifying and Mitigating API Misuse in Large Language Models,https://arxiv.org/abs/2503.22821,"TY Zhuo, J He, J Sun, Z Xing, D Lo, J Grundy",CodeBERTScore,2025
End-User Customization of Trigger-Action Rules Through Fine-Tuned LLMs,https://link.springer.com/chapter/10.1007/978-3-031-95452-8_2,"G Cimino, V Deufemia",CodeBERTScore,2025
CodeScore: Evaluating Code Generation by Learning Code Execution. CoRR abs/2301.09043 (2023),https://arxiv.org/pdf/2301.09043,"Y Dong, X Jiang",CodeScore,2023
Codescore-r: An automated robustness metric for assessing the functionalcorrectness of code synthesis,https://arxiv.org/abs/2406.06902,"G Yang, Y Zhou, X Chen, X Zhang",CodeScore,2024
Doce: Finding the sweet spot for execution-based code generation,https://arxiv.org/abs/2408.13745,"HS Li, P Fernandes, I Gurevych, AFT Martins",CodeScore,2024
FuncEvalGMN: Evaluating Functional Correctness of SQL via Graph Matching Network,https://arxiv.org/abs/2407.14530,"Y Zhan, Y Sun, L Cui",CodeScore,2024
Codescore: Evaluating code generation by learning code execution,https://dl.acm.org/doi/abs/10.1145/3695991,"Y Dong, X Jiang, G Li, Z Li, Z Jin",CodeScore,2025
Towards Database-Free Text-to-SQL Evaluation: A Graph-Based Metric for Functional Correctness,https://aclanthology.org/2025.coling-main.308/,"Y Zhan, L Cui, H Weng, G Wang, Y Tian",CodeScore,2025
CODE-DITING: A Reasoning-Based Metric for Functional Alignment in Code Evaluation,https://arxiv.org/abs/2505.19502,"G Yang, Y Zhou, X Chen, W Zheng, X Hu",CodeScore,2025
"Enhancing Cross-Language Code Translation via Task-Specific Embedding
  Alignment in Retrieval Augmented Generation",http://arxiv.org/abs/2412.05159v1,"Manish Bhattarai, Minh Vu, Javier E. Santos, Ismael Boureima, Daniel O' Malley",CodeBLEU,2024
"CodeRosetta: Pushing the Boundaries of Unsupervised Code Translation for
  Parallel Programming",http://arxiv.org/abs/2410.20527v1,"Ali TehraniJamsaz, Arijit Bhattacharjee, Le Chen, Nesreen K. Ahmed, Amir Yazdanbakhsh, Ali Jannesari",CodeBLEU,2024
"Beyond Surface Similarity: Evaluating LLM-Based Test Refactorings with
  Structural and Semantic Awareness",http://arxiv.org/abs/2506.06767v1,"Wendkûuni C. Ouédraogo, Yinghua Li, Xueqi Dang, Xin Zhou, Anil Koyuncu, Jacques Klein, David Lo, Tegawendé F. Bissyandé",CodeBLEU,2025
"Out of the BLEU: how should we assess quality of the Code Generation
  models?",http://arxiv.org/abs/2208.03133v2,"Mikhail Evtikhiev, Egor Bogomolov, Yaroslav Sokolov, Timofey Bryksin",CodeBLEU,2022
"Creating a Dataset for High-Performance Computing Code Translation using
  LLMs: A Bridge Between OpenMP Fortran and C++",http://arxiv.org/abs/2307.07686v4,"Bin Lei, Caiwen Ding, Le Chen, Pei-Hung Lin, Chunhua Liao",CodeBLEU,2023
Generating refactored code accurately using reinforcement learning,http://arxiv.org/abs/2412.18035v1,"Indranil Palit, Tushar Sharma",CodeBLEU,2024
"CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding
  and Generation",http://arxiv.org/abs/2102.04664v2,"Shuai Lu, Daya Guo, Shuo Ren, Junjie Huang, Alexey Svyatkovskiy, Ambrosio Blanco, Colin Clement, Dawn Drain, Daxin Jiang, Duyu Tang, Ge Li, Lidong Zhou, Linjun Shou, Long Zhou, Michele Tufano, Ming Gong, Ming Zhou, Nan Duan, Neel Sundaresan, Shao Kun Deng, Shengyu Fu, Shujie Liu",CodeBLEU,2021
"A Novel Approach for Rapid Development Based on ChatGPT and Prompt
  Engineering",http://arxiv.org/abs/2312.13115v2,"Youjia Li, Jianjun Shi, Zheng Zhang",CodeBLEU,2023
Measuring Code Efficiency Optimization Capabilities with ACEOB,http://arxiv.org/abs/2408.12960v1,"Yue Pan, Xiuting Shao, Chen Lyu",CodeBLEU,2024
"Fortran2CPP: Automating Fortran-to-C++ Translation using LLMs via
  Multi-Turn Dialogue and Dual-Agent Integration",http://arxiv.org/abs/2412.19770v2,"Le Chen, Bin Lei, Dunzhi Zhou, Pei-Hung Lin, Chunhua Liao, Caiwen Ding, Ali Jannesari",CodeBLEU,2024
Enhancing Code LLM Training with Programmer Attention,http://arxiv.org/abs/2503.14936v2,"Yifan Zhang, Chen Huang, Zachary Karas, Dung Thuy Nguyen, Kevin Leach, Yu Huang",CodeBLEU,2025
"Enhancing LLM Code Generation with Ensembles: A Similarity-Based
  Selection Approach",http://arxiv.org/abs/2503.15838v2,"Tarek Mahmud, Bin Duan, Corina Pasareanu, Guowei Yang",CodeBLEU,2025
"CCCI: Code Completion with Contextual Information for Complex Data
  Transfer Tasks Using Large Language Models",http://arxiv.org/abs/2503.23231v1,"Hangzhan Jin, Mohammad Hamdaqa",CodeBLEU,2025
"Empowering AI to Generate Better AI Code: Guided Generation of Deep
  Learning Projects with LLMs",http://arxiv.org/abs/2504.15080v1,"Chen Xie, Mingsheng Jiao, Xiaodong Gu, Beijun Shen",CodeBLEU,2025
"AutoEDA: Enabling EDA Flow Automation through Microservice-Based LLM
  Agents",http://arxiv.org/abs/2508.01012v1,"Yiyi Lu, Hoi Ian Au, Junyao Zhang, Jingyu Pan, Yiting Wang, Ang Li, Jianyi Zhang, Yiran Chen",CodeBLEU,2025
"How Important are Good Method Names in Neural Code Generation? A Model
  Robustness Perspective",http://arxiv.org/abs/2211.15844v2,"Guang Yang, Yu Zhou, Wenhua Yang, Tao Yue, Xiang Chen, Taolue Chen",CodeBLEU,2022
Domain Adaptation for Code Model-based Unit Test Case Generation,http://arxiv.org/abs/2308.08033v3,"Jiho Shin, Sepehr Hashtroudi, Hadi Hemmati, Song Wang",CodeBLEU,2023
"SteloCoder: a Decoder-Only LLM for Multi-Language to Python Code
  Translation",http://arxiv.org/abs/2310.15539v2,"Jialing Pan, Adrien Sadé, Jin Kim, Eric Soriano, Guillem Sole, Sylvain Flamant",CodeBLEU,2023
"Multi-LLM Collaboration + Data-Centric Innovation = 2x Better
  Vulnerability Repair",http://arxiv.org/abs/2401.15459v3,"Xin Zhou, Kisub Kim, Bowen Xu, DongGyun Han, David Lo",CodeBLEU,2024
"Improving the Learning of Code Review Successive Tasks with Cross-Task
  Knowledge Distillation",http://arxiv.org/abs/2402.02063v1,"Oussama Ben Sghaier, Houari Sahraoui",CodeBLEU,2024
RAMBO: Enhancing RAG-based Repository-Level Method Body Completion,http://arxiv.org/abs/2409.15204v3,"Tuan-Dung Bui, Duc-Thieu Luu-Van, Thanh-Phat Nguyen, Thu-Trang Nguyen, Son Nguyen, Hieu Dinh Vo",CodeBLEU,2024
"Preference-Guided Refactored Tuning for Retrieval Augmented Code
  Generation",http://arxiv.org/abs/2409.15895v1,"Xinyu Gao, Yun Xiong, Deze Wang, Zhenhan Guan, Zejian Shi, Haofen Wang, Shanshan Li",CodeBLEU,2024
"Instructive Code Retriever: Learn from Large Language Model's Feedback
  for Code Intelligence Tasks",http://arxiv.org/abs/2410.11300v1,"Jiawei Lu, Haoye Wang, Zhongxin Liu, Keyu Liang, Lingfeng Bao, Xiaohu Yang",CodeBLEU,2024
"I Can't Share Code, but I need Translation -- An Empirical Study on Code
  Translation through Federated LLM",http://arxiv.org/abs/2501.05724v1,"Jahnavi Kumar, Venkata Lakshmana Sasaank Janapati, Mokshith Reddy Tanguturi, Sridhar Chimalakonda",CodeBLEU,2025
"Improving Deep Assertion Generation via Fine-Tuning Retrieval-Augmented
  Pre-trained Language Models",http://arxiv.org/abs/2502.16071v1,"Quanjun Zhang, Chunrong Fang, Yi Zheng, Yaxin Zhang, Yuan Zhao, Rubing Huang, Jianyi Zhou, Yun Yang, Tao Zheng, Zhenyu Chen",CodeBLEU,2025
"Enhancing LLM-based Code Translation in Repository Context via Triple
  Knowledge-Augmented",http://arxiv.org/abs/2503.18305v2,"Guangsheng Ou, Mingwei Liu, Yuxuan Chen, Xueying Du, Shengbo Wang, Zekai Zhang, Xin Peng, Zibin Zheng",CodeBLEU,2025
"SciReplicate-Bench: Benchmarking LLMs in Agent-driven Algorithmic
  Reproduction from Research Papers",http://arxiv.org/abs/2504.00255v2,"Yanzheng Xiang, Hanqi Yan, Shuyin Ouyang, Lin Gui, Yulan He",CodeBLEU,2025
"CodeBC: A More Secure Large Language Model for Smart Contract Code
  Generation in Blockchain",http://arxiv.org/abs/2504.21043v2,"Lingxiang Wang, Hainan Zhang, Qinnan Zhang, Ziwei Wang, Hongwei Zheng, Jin Dong, Zhiming Zheng",CodeBLEU,2025
Mutual-Supervised Learning for Sequential-to-Parallel Code Translation,http://arxiv.org/abs/2506.11153v1,"Changxin Ke, Rui Zhang, Shuo Wang, Li Ding, Guangli Li, Yuanbo Wen, Shuoming Zhang, Ruiyuan Xu, Jin Qin, Jiaming Guo, Chenxi Wang, Ling Li, Qi Guo, Yunji Chen",CodeBLEU,2025
On the Effect of Token Merging on Pre-trained Models for Code,http://arxiv.org/abs/2507.14423v1,"Mootez Saad, Hao Li, Tushar Sharma, Ahmed E. Hassan",CodeBLEU,2025
"Benchmarking Causal Study to Interpret Large Language Models for Source
  Code",http://arxiv.org/abs/2308.12415v1,"Daniel Rodriguez-Cardenas, David N. Palacio, Dipin Khati, Henry Burke, Denys Poshyvanyk",CodeBLEU,2023
MonoCoder: Domain-Specific Code Language Model for HPC Codes and Tasks,http://arxiv.org/abs/2312.13322v3,"Tal Kadosh, Niranjan Hasabnis, Vy A. Vo, Nadav Schneider, Neva Krien, Mihai Capota, Abdul Wasay, Nesreen Ahmed, Ted Willke, Guy Tamir, Yuval Pinter, Timothy Mattson, Gal Oren",CodeBLEU,2023
"Teaching Code LLMs to Use Autocompletion Tools in Repository-Level Code
  Generation",http://arxiv.org/abs/2401.06391v3,"Chong Wang, Jian Zhang, Yebo Feng, Tianlin Li, Weisong Sun, Yang Liu, Xin Peng",CodeBLEU,2024
Enhancing Automated Program Repair with Solution Design,http://arxiv.org/abs/2408.12056v2,"Jiuang Zhao, Donghao Yang, Li Zhang, Xiaoli Lian, Zitian Yang, Fang Liu",CodeBLEU,2024
PyGen: A Collaborative Human-AI Approach to Python Package Creation,http://arxiv.org/abs/2411.08932v4,"Saikat Barua, Mostafizur Rahman, Md Jafor Sadek, Rafiul Islam, Shehenaz Khaled, Md. Shohrab Hossain",CodeBLEU,2024
"Understanding the Effectiveness of LLMs in Automated Self-Admitted
  Technical Debt Repayment",http://arxiv.org/abs/2501.09888v1,"Mohammad Sadegh Sheikhaei, Yuan Tian, Shaowei Wang, Bowen Xu",CrystalBLEU,2025
"Evaluating and Optimizing the Effectiveness of Neural Machine
  Translation in Supporting Code Retrieval Models: A Study on the CAT Benchmark",http://arxiv.org/abs/2308.04693v1,"Hung Phan, Ali Jannesari",CrystalBLEU,2023
"On the Limitations of Embedding Based Methods for Measuring Functional
  Correctness for Code Generation",http://arxiv.org/abs/2405.01580v1,Atharva Naik,CodeBERTScore,2024
"Aligning LLMs through Multi-perspective User Preference Ranking-based
  Feedback for Programming Question Answering",http://arxiv.org/abs/2406.00037v1,"Hongyu Yang, Liyang He, Min Hou, Shuanghong Shen, Rui Li, Jiahui Hou, Jianhui Ma, Junda Zhao",CodeBERTScore,2024
